id,name,screen_name,location,protected,description,followers_count,friends_count,listed_count,created_time,favorites_count,timezone,verification,statuses_count,language,topic,text,stance,count,Unnamed: 0,tweet_id,user_id,time,word_count,char_count,avg_word,hastags,mentions,number_digit,uppercase,lowercase
8.13793e+17,cajungirl4ever 🌻❤🇺🇸,cajungirl4good,God's County  Prolife 🙇🌻💅,False,Tattooed Mom and MeMe of 5🙇#LoveJesus 💖#Military #BacktheBlue 🚔#Conservative Trump is #Maga 🇺🇸 Stand for Our Flag 🇺🇸🌻 Knee to 🙇,11102,10796,3,12/27/2016 17:05,14237,,False,18143,en,backer,Always knew these kids had ties to #Soros . The parents need to have a Mental background check.,Strong Agreement,3,0,9.68849e+17,8.13793e+17,2/28/2018 14:04,18,95,4.333333333333333,1,0,0,0,13
4885703096.0,🇺🇸MAGA🇺🇸,izzieadams1,"Pensacola, FL",False,Retired Hoosier now FLORIDIAN/ LOVE GOD/HUBBY/FAMILY/BOATING/ RETIRED USAF BOOM OP/ I WORKED IND. ATTY GEN / FB @GenFlynn No Lists/I will Block,16018,9948,42,2/10/2016 1:46,154509,,False,189181,en,backer,"Parents, if ur children are involved with George SOROS, pls pls tell them how dangerous that is for them. He is a Nazi & is trying to ruin America, using ANTIFA for instance. Why do u think weâre fighting so hard. FOR AMERICA",Strong Agreement,4,2,9.69033e+17,4885703096.0,3/1/2018 2:12,43,227,4.3023255813953485,0,0,0,4,32
3146532809.0,Wesmoms,Wesmoms,Texas,False,"I was mom to Wesley, cutest Pomeranian ever. Conservative. Christian. Supports soldiers and veterans. #NoDACA #NoAmnesty",1957,2118,1,4/8/2015 4:45,15054,,False,19454,en,backer,"Why the hell is planned parenthood sponsoring these ""kids""? Planned parenthood KILLS children in the womb, yet they're sponsoring these ""kids"" in their march for life? #hypocrites #Hypocrisy #PlannedParenthoodMurdersChildren",Neutral,3,3,9.68834e+17,3146532809.0,2/28/2018 13:01,29,224,6.758620689655173,3,0,0,1,24
158429392.0,David T,DTNCA,"Santa Cruz, CA",False,Blind guy who sees more than most Attitude is everything or 95% of it ❤️🇺🇸🚂 Loves The Howard Stern Show DJT Avril Lavigne RUSH 49ers Sharks Team USA & Cabo,792,1063,41,6/22/2010 17:31,11672,,False,52191,en,backer,It all came together just a little too quickly and the presence of professional organizing is obvious hardly spontaneous grassroots movement,Strong Agreement,5,4,9.69031e+17,158429392.0,3/1/2018 2:07,21,140,5.714285714285714,0,0,0,0,20
19190837.0,Jen,nerbonnej,Southern RI,False,"Mom of 3, #ProConstitution, #MAGA, Dog Lover 🐶 #ProLife, #TrumpPence, #SethRich, #NRA, #TrumpTrain 🚂, #Vets, #StoptheLiberalMadness, #KatesWall, #BackTheBlue",5440,5073,3,1/19/2009 17:00,7350,,False,4807,en,backer,I bet if you do a little bit of research you would find some of these families have million dollar homes.  This is a plan rolled out by the left and btw shouldnât DWS be in jail????,Weak Disagreement,3,5,9.68874e+17,19190837.0,2/28/2018 15:41,38,183,3.945945945945946,0,0,0,2,34
897797426.0,JJ,jjd_53,,False,,188,40,2,10/22/2012 15:16,28744,,False,11073,en,backer,Planned Parenthood is helping those kids! LMAO! If PP had its way those kids would have never been born and PP wud have benefited from selling their little visit parts!,Weak Agreement,4,7,9.68865e+17,897797426.0,2/28/2018 15:05,30,168,4.633333333333334,0,0,0,3,24
9.34167e+17,Joyjoy,freedom_girlbot,,False,True patriot🇺🇸🇺🇸 fighting 💪the gangster government mafia gang.🇺🇸🇺🇸 We can do this together. 💃🕺 God bless America and god bless us .😇🗽🚂🚂,8587,5489,7,11/24/2017 21:09,15526,,False,6992,en,backer,"Poor kids  , they should have parents that watch over them better",Neutral,3,9,9.68926e+17,9.34167e+17,2/28/2018 19:08,13,65,4.416666666666667,0,0,0,0,10
18255010.0,spectre2012,spectre2012,,False,I follow everything and anything that can effect world markets throughout the day. Mostly macro view in regards to trading.,168,74,6,12/19/2008 22:56,620,,False,3618,en,backer,Where is the minority representation more black teenagers die from gun violence than anyone? #AllLivesMatter,Neutral,5,11,9.68844e+17,18255010.0,2/28/2018 13:44,15,108,6.266666666666667,1,0,0,0,13
7.31257e+17,DorotheaV🇺🇸🌻🌵🤠,DoreeeV,"Arizona, USA",False,"Best day Arizona Trump Rally sat in bleachers..arm behind left side of President Trump's head Proudly Holding my Women For Trump Sign! Bots, Trolls, Lists 🚫",2180,1026,44,5/13/2016 22:57,177742,,False,188259,en,backer,Florida is his home base! He found more Useful Idiots!,Weak Agreement,3,12,9.68839e+17,7.31257e+17,2/28/2018 13:21,10,54,4.5,0,0,0,0,6
341022215.0,Janet Sullivan,JanCatt35,"Bon Air, VA",False,,29,109,1,7/23/2011 17:36,9962,,False,671,en,backer,They all look SO saddened by the loss of their classmates....don't they???!!!,Neutral,3,13,9.68864e+17,341022215.0,2/28/2018 15:00,12,77,5.5,0,0,0,1,10
