,tweet_id,user_id,screen_name,text,time,topic
0,9.66748E+17,884304968,Just_a_Texan,This kid is a complete fraud.....,2/22/2018 18:53,coached
1,9.66404E+17,1158627246,Martin_Ellinger,Throw your phone away please.,2/21/2018 20:06,coached
2,9.70318E+17,8.08649E+17,CindyKayHogan1,I got suspended for sharing his practice flubbed video. I can’t believe I would see the Orwellian 1984 censorship in my lifetime.,3/4/2018 15:21,coached
3,9.6663E+17,8.18683E+17,airbornelayer88,"Not everyone ran for the cameras, some ran to shield others
https://twitter.com/RealSaavedra/status/966577114655805442 …",2/22/2018 11:04,coached
4,9.66407E+17,3092616083,FloridaGuyOB,Reported to twitter. Don’t you have anything better to do than target kids that survived a mass shooting only a week ago!  Trump $30 million and little Marco $3.3 million from NRA,2/21/2018 20:17,coached
5,9.66463E+17,3579203061,dtt170,#DavidHogg is a fraud,2/22/2018 0:02,coached
6,9.68335E+17,7.03816E+17,KLelevier,@TrumpUpdate,2/27/2018 4:00,coached
7,9.66782E+17,21274393,brenzachip,"On Dr. Phil today.
Things that make you go Hmmmmmm....",2/22/2018 21:09,coached
8,9.6901E+17,30198443,djreiner,"Incredible......

Are his 15 minutes up yet?",3/1/2018 0:42,coached
9,9.68746E+17,254690767,CHearSpeakNEvil,"Interesting that Hogg references his friend was in the bathroom where the ""hallway shooter"" was, not Cruz or shooter but ""hallway shooter"" 3 students have said more than one shooter, now Hogg terminology implies that also!",2/28/2018 7:11,coached
10,9.6664E+17,2396615286,OnlyTruthReign,"You know he graduated from California high school, how to hell did he become, over 20 years old a Parkland high school student, that does not make sense.",2/22/2018 11:45,coached
11,9.66487E+17,7.16993E+17,darktolightMAGA,Pathetic CNN has been numerous times coaching and staging interviews,2/22/2018 1:38,coached
12,9.69727E+17,3368046515,toddbrock1234,Douchebag in training.,3/3/2018 0:11,coached
13,9.69039E+17,215994955,jonathanG02,"@Ssnyder1835 Here is a big reason why I am not accepting the narrative being reported. Again, I am sorry anyone was killed. Still I can’t help but think there is something more going on.",3/1/2018 2:39,coached
14,9.68656E+17,8.63195E+17,Bishopman69,"To everyone that is saying that he is traumatized and can't speak clearly. This ""kid"" made a video thast was supposedly during the shooting and he never messed up while speaking one time then.

Also, does the interviewer say ""just say, i can't put it in perspective.""?",2/28/2018 1:16,coached
15,9.67777E+17,16155881,petefrt,"Why is media circling wagons on any criticism of leftist Parkland students?  

The left hopes to grow #Parkland into a national movement.  

Template: Mao's Cultural Revolution and the Chinese Red Guards #tcot https://www.britannica.com/topic/Red-Guards … …",2/25/2018 15:02,coached
16,9.67105E+17,2845812077,brrider,"This is a perfect example of remembering lies
The facts that you experience is not hard to remember what happened
The fact is this is why police use video when talking to them bc they will ask you the same question in a different way
The story always changes in lies=he is liar",2/23/2018 18:33,coached
17,9.66561E+17,18093218,silverbfly,"Youngest CIA/FBI/CNN shill, or is he ? ",2/22/2018 6:31,coached
18,9.66462E+17,1539109250,WokenSlack,,2/21/2018 23:57,coached
19,9.66455E+17,245511351,grieve51166,Because it's been proved he wasn't a student there? Just a wild guess... Stooge.,2/21/2018 23:31,coached
20,9.66409E+17,1206073021,djdoug4ever,We are living in dangerous times when people are trying to hide the truth.  The left is so corrupt!!,2/21/2018 20:28,coached
21,9.66477E+17,7.91506E+17,100011crusader,@bchapman151 @RealMattCouch @TruthinGov2016 @realDonaldTrump @LisaMei62,2/22/2018 0:56,coached
22,9.66566E+17,7.9628E+17,AwakeOhSL33per,Reported :),2/22/2018 6:50,coached
23,9.70908E+17,19883373,isabelgonzalo,,3/6/2018 6:25,coached
24,9.69814E+17,243415783,BuckCityPig,He looks like he might even be trying out for a new anchor position. He kid get this right or your finished in the fake news industry ,3/3/2018 5:57,coached
25,9.69381E+17,1305549067,Canadiancovfefe,Wow!!!  Not the slightest bit credible.,3/2/2018 1:18,coached
26,9.69349E+17,8.24039E+17,jangone113,Attention-seeking peabody!,3/1/2018 23:08,coached
27,9.68931E+17,7.85905E+17,pammyjean7,This is exactly what it was rehearsed and he was coached.,2/28/2018 19:30,coached
28,9.68922E+17,298633547,LoriinUtah,Why is this little twit getting so much attention?,2/28/2018 18:52,coached
29,9.68176E+17,9.38953E+17,RockerC96ci,Any cop with any interview skills can see he’s lying from his eye movements.,2/26/2018 17:27,coached
